2024-01-17 21:36:14,476 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:37:07,826 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:08,765 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:09,716 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:10,671 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:11,583 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:12,524 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:13,450 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:14,398 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:15,306 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:16,261 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:17,202 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:18,256 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:19,217 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:19,890 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:37:19,890 - INFO - ('현재가: ', 42494.4, ' / EMA5: ', 42707.83, ' / EMA10: ', 42737.93, ' / EMA200: ', 43134.5, ' / EMA200N: ', 43128.14, ' / MACD12: ', -81.66, ' / MACD26: ', -69.5, ' / CCI: ', -58.05, ' / CCIN: ', -105.29)
2024-01-17 21:37:20,164 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:21,123 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:22,049 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:23,194 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:24,151 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:25,143 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:26,104 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:27,064 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:28,018 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:28,973 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:29,945 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:31,048 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:32,017 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:32,999 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:33,946 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:35,099 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:36,510 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:36,764 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:37:36,764 - INFO - ('현재가: ', 42514.8, ' / EMA5: ', 42707.83, ' / EMA10: ', 42737.93, ' / EMA200: ', 43134.5, ' / EMA200N: ', 43128.67, ' / MACD12: ', -81.66, ' / MACD26: ', -69.5, ' / CCI: ', -58.05, ' / CCIN: ', -101.95)
2024-01-17 21:37:37,537 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:38,516 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:39,486 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:40,461 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:37:41,485 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:37:42,454 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:43,439 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:37:44,368 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
